crop,soil_type,pH,weather,available_N,available_P,available_K,rec_N,rec_P,rec_K,Urea(kg),SSP(kg),MOP(kg),fertilizer_N,fertilizer_P,fertilizer_K,notes,
Soybean,Clay loam,5.5,Normal,Low (182),Medium (24),High (113),27,18,18,59,112,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Clay loam,7,Normal,High (296),Medium (20),High (103),46,26,35,100,0,58,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Sugarcane,Red soil,7.1,Humid,Medium (239),Medium (18),High (121),81,29,36,176,0,60,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Sandy loam,5.6,Dry,Medium (237),Medium (18),High (293),50,18,24,109,112,40,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Red soil,6,Rainy,Medium (239),High (30),High (216),42,17,21,91,106,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Maize,Clay loam,6.6,Humid,Medium (220),Medium (22),High (129),55,20,23,120,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Maize,Red soil,7.7,Normal,Medium (242),Medium (21),High (213),50,24,25,109,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Alluvial,5.9,Normal,High (266),Medium (21),High (290),21,19,24,46,119,40,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,5.6,Dry,Medium (207),Medium (25),High (221),28,17,20,61,106,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Sandy loam,6.7,Rainy,High (263),High (29),High (227),45,25,33,98,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Red soil,6.2,Normal,Low (172),Low (14),High (151),21,16,18,46,100,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Clay loam,7.3,Rainy,Low (153),Medium (25),High (214),59,28,31,128,0,52,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Paddy,Sandy loam,7.7,Normal,Low (196),High (26),High (179),49,19,21,107,119,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Alluvial,7.2,Normal,High (283),Low (14),High (125),85,34,40,185,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Alluvial,6.4,Dry,Low (188),High (30),High (287),80,32,31,174,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Cotton,Red soil,7.7,Humid,High (286),Medium (22),High (231),37,25,35,80,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Tomato,Sandy loam,7.4,Dry,High (280),Medium (20),High (168),47,21,34,102,0,57,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Sugarcane,Alluvial,5.6,Humid,Medium (247),Low (10),High (276),97,26,31,211,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Maize,Alluvial,6.4,Rainy,High (279),High (28),High (298),51,24,21,111,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Alluvial,6.2,Rainy,High (277),Low (12),High (214),26,15,19,57,94,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Red soil,5.7,Humid,Medium (229),Medium (24),High (277),46,21,21,100,131,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Tomato,Red soil,6.5,Humid,Medium (210),High (26),High (300),60,22,33,130,0,55,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Sandy loam,7.6,Dry,Low (169),Low (11),High (120),27,15,19,59,94,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Alluvial,6,Normal,Low (174),Medium (21),High (185),59,23,31,128,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Maize,Black soil,7.4,Normal,Medium (250),Low (12),High (125),52,21,24,113,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Clay loam,6.8,Humid,Medium (215),High (28),High (205),64,20,38,139,0,63,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Tomato,Clay loam,6.6,Normal,High (253),Low (11),High (132),53,21,27,115,0,45,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Sugarcane,Black soil,5.6,Rainy,Low (171),High (27),High (213),91,34,32,198,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Sandy loam,7.1,Humid,Medium (211),Low (12),High (270),45,17,24,98,106,40,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Soybean,Alluvial,5.5,Humid,High (289),Low (13),High (174),22,16,22,48,100,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Alluvial,6.7,Humid,High (292),Medium (20),High (212),66,29,32,143,0,53,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Black soil,6.6,Rainy,Low (183),Medium (24),High (218),50,25,30,109,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Paddy,Sandy loam,6.5,Dry,Low (195),High (27),High (194),51,22,23,111,138,38,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Red soil,6.2,Normal,Medium (245),Medium (22),High (274),28,18,23,61,112,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Alluvial,5.6,Humid,High (254),Medium (25),High (251),21,17,18,46,106,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Clay loam,5.7,Normal,Medium (225),Low (14),High (227),46,28,21,100,0,35,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Tomato,Red soil,6.7,Humid,Medium (249),Medium (19),High (146),51,30,27,111,0,45,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Potato,Red soil,7.8,Dry,Low (173),Medium (21),High (144),52,22,33,113,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Tomato,Red soil,7.6,Humid,Low (182),Low (14),High (129),57,26,28,124,0,47,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Red soil,5.9,Rainy,Low (177),Medium (21),High (216),37,17,21,80,106,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Black soil,5.7,Normal,High (270),Medium (22),High (186),23,25,27,50,156,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Maize,Alluvial,7.2,Normal,Low (154),Medium (21),High (177),53,20,21,115,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Paddy,Alluvial,6.1,Normal,Medium (236),Medium (22),High (212),42,17,17,91,106,28,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Black soil,7.3,Rainy,High (254),Medium (21),High (269),92,29,33,200,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Clay loam,7.2,Humid,Medium (217),Low (10),High (180),69,23,39,150,0,65,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Clay loam,6.4,Normal,Medium (201),High (27),High (299),91,35,32,198,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Potato,Alluvial,6,Dry,Low (164),High (27),High (128),69,22,39,150,0,65,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Red soil,7.1,Dry,Low (163),Medium (16),High (160),95,27,33,207,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Cotton,Alluvial,5.8,Dry,High (266),High (30),High (269),39,19,29,85,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Black soil,6.4,Dry,Low (197),High (28),High (290),27,20,22,59,125,37,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Sandy loam,6.6,Dry,Medium (214),High (29),High (212),22,18,22,48,112,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Sandy loam,5.8,Rainy,Low (173),High (30),High (134),46,22,22,100,0,37,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Sandy loam,5.9,Normal,Low (194),High (26),High (180),34,17,27,74,106,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Alluvial,6.7,Dry,High (278),Medium (24),High (288),49,27,24,107,0,40,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Tomato,Clay loam,7.3,Dry,Low (164),Medium (22),High (122),51,20,21,111,0,35,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Alluvial,5.7,Dry,Medium (217),High (30),High (102),30,25,24,65,156,40,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Soybean,Black soil,6.2,Normal,Medium (209),Medium (25),High (102),20,16,18,43,100,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Sandy loam,5.7,Dry,High (266),Low (12),High (291),50,24,35,109,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Maize,Clay loam,5.6,Humid,High (278),High (26),High (289),51,23,21,111,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Sandy loam,6.7,Rainy,Low (185),Medium (17),High (177),23,23,27,50,144,45,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Clay loam,5.6,Dry,Low (184),Medium (18),High (245),96,33,36,209,0,60,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Red soil,6.6,Dry,High (295),Low (14),High (160),29,19,23,63,119,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Wheat,Red soil,6.8,Normal,High (253),Low (11),High (127),41,17,25,89,106,42,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Red soil,6.8,Rainy,Medium (245),Low (12),High (245),50,27,23,109,0,38,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Wheat,Red soil,5.6,Normal,Medium (210),Medium (22),High (137),45,15,16,98,94,27,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Clay loam,7.2,Humid,Low (176),High (27),High (207),59,23,31,128,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Maize,Black soil,6.6,Normal,High (287),Medium (25),High (188),57,24,25,124,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Potato,Clay loam,6.2,Dry,Medium (240),Medium (22),High (267),57,22,33,124,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Maize,Clay loam,7.7,Normal,Medium (215),Medium (20),High (146),50,23,24,109,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Maize,Clay loam,6.6,Humid,Low (159),Medium (18),High (219),51,25,24,111,0,40,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Clay loam,6.3,Humid,Medium (202),Medium (22),High (155),38,20,29,83,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Sandy loam,7.1,Normal,Medium (234),Medium (24),High (277),25,16,21,54,100,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,6.4,Rainy,Medium (226),High (30),High (154),23,17,22,50,106,37,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Red soil,7.5,Dry,Low (184),Medium (17),High (108),21,16,18,46,100,30,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Red soil,6.5,Rainy,Medium (205),Low (13),High (224),50,24,15,109,150,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Sandy loam,6.7,Rainy,High (279),Medium (22),High (144),80,35,40,174,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Black soil,6,Rainy,High (280),Medium (18),High (144),23,19,23,50,119,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Alluvial,5.6,Rainy,Medium (207),Medium (17),High (289),25,18,25,54,112,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Clay loam,6.9,Rainy,Medium (247),Low (11),High (238),70,29,34,152,0,57,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Red soil,5.7,Rainy,Low (157),Medium (16),High (148),56,24,33,122,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Sugarcane,Red soil,6.3,Humid,Low (200),High (28),High (233),95,28,37,207,0,62,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Sandy loam,6.2,Normal,Medium (241),Low (15),High (136),89,31,33,193,0,55,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Groundnut,Black soil,7.6,Dry,Low (163),Medium (19),High (201),30,18,23,65,112,38,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Alluvial,5.7,Normal,Medium (213),Low (13),High (217),69,22,33,150,0,55,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Groundnut,Clay loam,6.6,Normal,Low (182),Medium (24),High (202),33,20,22,72,125,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Wheat,Black soil,7.5,Normal,Medium (232),High (27),High (215),40,20,20,87,125,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Red soil,6.9,Normal,Low (162),Medium (23),High (218),47,26,35,102,0,58,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Red soil,7.5,Normal,Medium (245),Medium (24),High (166),24,15,29,52,94,48,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Tomato,Clay loam,6.4,Normal,Medium (248),Medium (17),High (116),57,21,24,124,0,40,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Red Gram,Alluvial,6.5,Rainy,High (275),Low (10),High (189),21,15,18,46,94,30,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Cotton,Alluvial,6.6,Humid,High (274),Low (15),High (167),42,22,31,91,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Tomato,Black soil,7.3,Normal,Low (184),Medium (20),High (224),54,23,25,117,0,42,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Clay loam,7.1,Rainy,Medium (246),Low (13),High (281),22,17,25,48,106,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Potato,Clay loam,7.1,Rainy,Medium (220),Medium (25),High (293),57,20,35,124,0,58,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Wheat,Sandy loam,6.8,Humid,Medium (223),Medium (25),High (158),43,21,19,93,131,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Potato,Black soil,6.3,Dry,Medium (246),High (29),High (156),61,21,32,133,0,53,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Black soil,6.7,Normal,Medium (238),Medium (20),High (245),25,18,22,54,112,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Clay loam,5.6,Dry,High (284),High (30),High (163),54,30,26,117,0,43,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Groundnut,Sandy loam,6.5,Dry,High (287),Medium (22),High (150),35,23,22,76,144,37,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Paddy,Clay loam,7.2,Normal,Medium (214),Medium (19),High (267),41,17,23,89,106,38,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Paddy,Alluvial,6.2,Humid,Low (168),High (29),High (186),47,17,17,102,106,28,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Black soil,5.6,Normal,High (262),Medium (19),High (183),50,22,23,109,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Tomato,Sandy loam,6.3,Dry,High (263),Low (15),High (227),58,27,22,126,0,37,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Potato,Red soil,6.7,Humid,Medium (211),High (26),High (248),68,29,36,148,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Paddy,Clay loam,7.1,Normal,Low (182),Medium (25),High (237),50,25,25,109,156,42,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Red soil,7,Rainy,Medium (231),Low (12),High (163),45,25,33,98,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Red soil,5.8,Rainy,Low (189),Medium (25),High (111),20,17,19,43,106,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Clay loam,7.3,Rainy,Low (174),Low (13),High (151),49,18,15,107,112,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Alluvial,7.4,Rainy,Medium (226),Medium (24),High (196),91,28,37,198,0,62,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Clay loam,6.5,Dry,Medium (240),Medium (22),High (245),43,22,19,93,138,32,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Red Gram,Clay loam,6.3,Rainy,High (294),Low (15),High (250),22,20,21,48,125,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Paddy,Sandy loam,6.7,Dry,High (255),Medium (22),High (108),46,23,15,100,144,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Soybean,Black soil,7.2,Rainy,Low (185),Medium (24),High (282),24,16,19,52,100,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Tomato,Sandy loam,7.7,Humid,Low (185),High (26),High (127),52,20,29,113,0,48,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Black soil,7.1,Dry,Low (160),Low (11),High (171),28,18,23,61,112,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Alluvial,7,Humid,Medium (226),High (27),High (150),54,20,22,117,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Sandy loam,7.5,Normal,Medium (221),Low (12),High (140),23,20,22,50,125,37,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Clay loam,6.5,Normal,Medium (217),High (27),High (279),95,31,39,207,0,65,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Alluvial,6.9,Rainy,Low (170),Low (12),High (143),43,16,18,93,100,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Red Gram,Alluvial,6.3,Humid,Medium (206),High (26),High (251),25,17,20,54,106,33,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Clay loam,6.6,Humid,Medium (216),Low (12),High (162),22,20,21,48,125,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Red soil,7.6,Humid,High (258),Medium (25),High (258),49,24,18,107,150,30,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Wheat,Clay loam,5.7,Humid,Low (173),High (27),High (212),37,16,22,80,100,37,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Cotton,Red soil,6,Rainy,Low (151),Medium (16),High (192),50,17,33,109,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Potato,Red soil,6,Dry,High (268),Medium (19),High (127),58,27,36,126,0,60,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Soybean,Clay loam,5.8,Rainy,High (276),Medium (22),High (152),26,15,17,57,94,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Black soil,7.3,Rainy,High (263),High (29),High (202),30,15,23,65,94,38,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Clay loam,7.1,Humid,Medium (218),Low (14),High (279),30,18,21,65,112,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Alluvial,5.7,Normal,Low (155),Medium (19),High (227),45,26,24,98,0,40,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Potato,Clay loam,6.1,Dry,Medium (210),Medium (18),High (244),61,29,30,133,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Potato,Black soil,6.7,Humid,High (256),Medium (21),High (168),60,23,40,130,0,67,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Cotton,Clay loam,6.4,Dry,Medium (237),High (28),High (246),46,20,27,100,0,45,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Paddy,Sandy loam,7.3,Dry,Low (153),High (28),High (151),47,16,15,102,100,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Clay loam,7.5,Normal,High (272),Medium (21),High (239),38,17,29,83,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Alluvial,5.7,Rainy,Medium (212),High (30),High (124),29,18,22,63,112,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Maize,Black soil,5.8,Rainy,Medium (209),Low (14),High (263),52,20,22,113,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Alluvial,6.8,Humid,High (290),Low (15),High (290),21,18,21,46,112,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Alluvial,5.8,Rainy,Medium (212),Medium (17),High (187),80,26,30,174,0,50,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Red soil,6.4,Humid,High (293),Medium (25),High (214),40,15,20,87,94,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Soybean,Sandy loam,7.7,Rainy,Medium (227),Low (12),High (251),25,19,24,54,119,40,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Alluvial,7.8,Rainy,Low (187),High (27),High (116),36,22,26,78,0,43,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Red soil,6.5,Rainy,Low (197),High (30),High (142),40,16,22,87,100,37,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Red Gram,Red soil,7,Rainy,Medium (213),High (26),High (256),22,18,19,48,112,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Paddy,Clay loam,6.4,Rainy,Medium (224),Medium (23),High (165),52,24,17,113,150,28,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Clay loam,6.5,Humid,Medium (249),High (29),High (213),46,15,22,100,94,37,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Soybean,Red soil,7.2,Rainy,Medium (224),High (29),High (266),23,17,17,50,106,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Red soil,5.7,Rainy,Low (152),Low (11),High (187),25,15,15,54,94,25,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Red soil,6.7,Humid,Medium (245),Medium (18),High (273),97,32,38,211,0,63,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Black soil,7.4,Humid,Medium (221),Low (15),High (147),43,17,16,93,106,27,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Soybean,Black soil,6,Rainy,Low (150),Low (14),High (111),26,16,22,57,100,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Soybean,Sandy loam,6.3,Normal,Medium (234),Medium (16),High (178),23,19,20,50,119,33,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Sandy loam,5.9,Normal,Medium (212),Medium (17),High (131),44,18,22,96,112,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Red soil,7.3,Normal,Medium (248),Low (10),High (188),42,19,30,91,0,50,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Tomato,Alluvial,6.8,Humid,High (300),Low (10),High (230),54,22,22,117,0,37,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Soybean,Clay loam,7.2,Humid,Medium (225),Low (14),High (258),30,19,19,65,119,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Red Gram,Red soil,7.5,Rainy,High (271),Low (10),High (296),21,17,21,46,106,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Groundnut,Red soil,6.7,Rainy,Medium (221),Medium (23),High (219),26,15,29,57,94,48,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Potato,Alluvial,6,Rainy,High (292),High (28),High (243),66,22,30,143,0,50,Urea,DAP,MOP,Add organic manure at planting; N & K split,
Red Gram,Alluvial,7.4,Humid,Low (184),Low (12),High (188),25,20,21,54,125,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Clay loam,7.5,Rainy,High (292),Low (14),High (289),53,27,31,115,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Cotton,Clay loam,7.2,Humid,Medium (224),High (26),High (170),40,22,35,87,0,58,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Sandy loam,5.9,Normal,Medium (225),High (27),High (215),27,17,23,59,106,38,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Black soil,7.2,Normal,High (254),Medium (20),High (112),91,26,35,198,0,58,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Black soil,5.8,Dry,High (272),High (28),High (235),42,16,15,91,100,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Alluvial,7,Dry,High (293),High (26),High (198),85,35,31,185,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Cotton,Sandy loam,5.9,Rainy,Medium (208),Medium (17),High (135),43,16,31,93,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Red Gram,Alluvial,7,Normal,High (275),Medium (24),High (239),30,15,19,65,94,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Sugarcane,Alluvial,7.5,Humid,Low (153),High (30),High (260),82,31,31,178,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Red Gram,Alluvial,6.6,Humid,Medium (220),Medium (22),High (177),24,15,17,52,94,28,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Tomato,Sandy loam,7.2,Dry,Medium (215),High (28),High (111),49,29,20,107,0,33,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Cotton,Sandy loam,7,Dry,High (287),High (29),High (166),36,22,27,78,0,45,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Wheat,Clay loam,7.5,Rainy,High (299),Low (10),High (200),50,24,21,109,150,35,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Clay loam,5.7,Humid,Low (155),Low (13),High (242),47,15,24,102,94,40,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Alluvial,7.4,Rainy,High (293),Medium (22),High (249),41,16,33,89,0,55,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Soybean,Alluvial,6.3,Rainy,Medium (205),Low (15),High (142),25,16,17,54,100,28,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Clay loam,6.8,Humid,Medium (250),Medium (17),High (179),41,18,30,89,0,50,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Paddy,Black soil,6.2,Dry,High (272),Medium (20),High (280),54,20,16,117,125,27,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
